timestamp,passenger_count,trip_distance,total_amount,humidity,pressure,temperature,weather_description,wind_direction,wind_speed
1509573600,29737,58893.349999999846,309777.3799999501,,,,,,
1512144000,24561,45515.889999999716,294070.06999995623,,,,,,
1513947600,29034,49272.080000000045,280167.1099999519,,,,,,
1513954800,28635,48096.85999999983,282550.2099999507,,,,,,
1512198000,9493,20750.84000000009,95877.01000000603,,,,,,
1511067600,3945,12345.819999999983,52397.910000001015,,,,,,
1514091600,2893,10198.790000000008,42102.73000000015,,,,,,
1514671200,22562,39538.88000000013,203581.09999997905,,,,,,
1511838000,1931,4458.140000000002,20525.149999999707,,,,,,
1509958800,23885,42294.07999999985,257249.3399999655,,,,,,
1509267600,16245,28442.899999999987,139579.3600000058,,,,,,
1514318400,20525,37900.91999999996,194533.78999998464,,,,,,
1511816400,25584,51530.350000000246,262453.95999996754,,,,,,
1513598400,24706,40158.19999999991,242964.91999996584,,,,,,
1511740800,7316,19892.83999999993,86853.68000000421,,,,,,
1509321600,6934,22527.649999999907,95193.01000000382,,,,,,
1510354800,32334,57756.500000000226,320160.0799999405,,,,,,
1509886800,29431,54012.98000000009,282219.5799999525,,,,,,
1514336400,4910,10303.119999999984,47603.760000000926,,,,,,
1510178400,31693,62668.95999999968,337957.61999994365,,,,,,
1514674800,20885,39600.40000000016,197072.77999998227,,,,,,
1514026800,26716,35141.929999999935,201779.6499999753,,,,,,
1511132400,12775,32276.919999999922,146055.16000000338,,,,,,
1511773200,23016,42740.610000000015,249055.2399999693,,,,,,
1512000000,13475,27207.940000000028,135997.2700000066,,,,,,
1512684000,35384,72708.6199999995,396108.5099999283,,,,,,
1514584800,24371,44219.01000000006,231119.3199999675,,,,,,
1510459200,9527,20399.700000000026,94889.51000000603,,,,,,
1513231200,14193,29138.960000000065,144641.62000000244,,,,,,
1512072000,33062,60444.59999999988,344104.14999994164,,,,,,
1512644400,26027,45163.82000000017,286735.5799999572,,,,,,
1509408000,9565,21082.43000000001,99304.11000000553,,,,,,
1511643600,23838,43524.139999999934,227553.13999997173,,,,,,
1509980400,26088,47704.329999999805,275263.59999995556,,,,,,
1513544400,22629,42369.75999999978,217782.11999997508,,,,,,
1512054000,27529,49940.69999999995,306300.7099999499,,,,,,
1510405200,26869,45438.38999999988,282109.47999995697,,,,,,
1513908000,8671,16895.58999999996,84411.1700000048,,,,,,
1511794800,25299,47230.42999999997,265340.1199999581,,,,,,
1513494000,6344,16523.799999999952,73165.80000000313,,,,,,
2268093600,1,8.67,31.56,,,,,,
1512640800,25866,46283.430000000066,287078.3899999579,,,,,,
1509760800,18124,31502.700000000055,162103.5199999964,,,,,,
1514376000,26430,39554.17999999991,232911.5599999637,,,,,,
1230778800,3,9.02,43.90000000000001,,,,,,
1514203200,15017,24622.030000000024,118659.07000001035,,,,,,
1509188400,27683,42140.43999999976,234654.47999996398,,,,,,
1514462400,28773,40075.81999999979,243287.2999999561,,,,,,
1511683200,9537,22323.57999999999,100007.38000000607,,,,,,
1513810800,27700,54321.31000000005,283953.7999999549,,,,,,
1510786800,24123,51596.719999999616,257534.66999997012,,,,,,
1512396000,26683,52430.940000000184,292003.0299999497,,,,,,
1512500400,36656,53606.33999999993,373186.1199999244,,,,,,
1512259200,32890,52394.510000000075,296280.43999994517,,,,,,
1511110800,27718,47942.120000000206,276188.3099999553,,,,,,
1513458000,30125,45631.81000000033,281745.0199999521,,,,,,
1509908400,25159,48534.31000000001,249113.4599999665,,,,,,
1510981200,4505,14962.329999999984,64165.9700000017,,,,,,
1509530400,23646,39405.72000000003,259313.7499999661,,,,,,
1513940400,26560,39338.960000000036,240065.7099999647,,,,,,
1513832400,5392,15796.399999999969,72292.23000000241,,,,,,
1514232000,15779,26954.489999999936,136337.01000000743,,,,,,
1510488000,29243,51196.15000000005,275433.4899999565,,,,,,
1514728800,24708,39341.620000000185,208941.46999997375,,,,,,
1511517600,16652,26119.31999999993,132318.95000001136,,,,,,
1511694000,21811,37108.420000000115,191578.9399999837,,,,,,
1513663200,12790,25411.25999999999,123718.36000000926,,,,,,
1230721200,1,9.53,49.27,,,,,,
1512507600,33898,63772.32999999997,367090.119999936,,,,,,
1510794000,7389,14979.920000000027,72320.54000000347,,,,,,
1514433600,2626,6891.109999999994,30317.98999999949,,,,,,
1511121600,21663,43599.769999999786,220372.82999997813,,,,,,
1511906400,27086,55138.140000000196,673811.5100001936,,,,,,
1511787600,22047,46420.610000000255,245981.7699999681,,,,,,
1510023600,1953,4764.59,21259.31999999971,,,,,,
1512554400,25505,43373.390000000014,279339.91999995784,,,,,,
1230764400,46,83.84,457.75000000000017,,,,,,
1512547200,30078,47668.50999999969,300867.3099999507,,,,,,
1513375200,36029,66807.04999999983,364732.6599999272,,,,,,
1512943200,18989,42275.93000000018,201348.16999998296,,,,,,
1511463600,18416,28973.460000000025,138924.45000000836,,,,,,
1513562400,3374,7026.809999999994,32638.539999999317,,,,,,
1510333200,33058,54653.60000000023,341582.16999993194,,,,,,
1514696400,2816,9825.820000000003,40065.300000000105,,,,,,
1514221200,16763,30410.69000000005,148101.80000000235,,,,,,
1509516000,12989,25064.12000000001,125886.86000000965,,,,,,
1513764000,24825,38278.959999999985,243469.80999996656,,,,,,
1513990800,15129,27966.58999999996,138033.56000000704,,,,,,
1514041200,23928,38628.76000000002,206401.57999997505,,,,,,
1510797600,4608,9839.100000000017,47024.54000000088,,,,,,
1511244000,13213,25856.12000000001,126733.22000000931,,,,,,
1510142400,25207,43678.14999999966,276319.5199999597,,,,,,
1514394000,25903,43158.98000000008,283542.13999995124,,,,,,
1510182000,22582,47554.00000000001,249561.67999997016,,,,,,
1512817200,31916,41315.07000000011,250458.67999995442,,,,,,
1510862400,34883,63084.43999999997,359621.78999993467,,,,,,
1509170400,6011,16357.250000000016,71577.07000000347,,,,,,
1513044000,3423,7042.6600000000035,33295.929999999484,,,,,,
1510426800,34810,49635.519999999815,317240.2299999338,,,,,,
1514577600,23482,38279.85000000001,210746.47999997696,,,,,,
1512007200,4474,9268.720000000012,45204.660000000644,,,,,,
1514642400,23594,41018.56,212948.68999997352,,,,,,
1230814800,2,3.71,22.6,,,,,,
1509566400,31960,60974.97999999996,332920.0199999424,,,,,,
1511053200,25273,41038.87999999998,222786.3399999742,,,,,,
1510264800,33142,69771.72000000018,381213.88999993156,,,,,,
1510210800,24577,40078.269999999764,230570.55999997398,,,,,,
1516190400,1,0.82,7.56,,,,,,
1511834400,2896,6431.170000000001,29612.489999999463,,,,,,
1509897600,23576,49027.96000000017,263542.7299999656,,,,,,
1511449200,19593,34353.50000000016,169458.61999999106,,,,,,
1512050400,27623,53086.849999999904,314709.85999994737,,,,,,
